country,Intervention,Description of total population,Subgroups,Subgroup description,Uptake outcome
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,TOTAL,NA,60.20%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Sex,Males,63.70%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Sex,Females,54.40%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Age group,0-89 days old,65.70%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Age group,90-179 days old,51.10%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Age group,180-364 days old,54.80%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,No comorbidities,54.20%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Prematurity (born <36 weeks gestational age),79.50%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Congenital heart disease,60.00%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Chronic lung disease,100.00%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Neurological disorders,66.70%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Other comorbidities,20.00%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,TOTAL,NA,67.30%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Sex,Males,73.30%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Sex,Females,59.10%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Comorbidities,No comorbidities,58.80%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Comorbidities,Prematurity,84.60%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Comorbidities,Cardiopathy,100.00%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Comorbidities,Neuropathy,50.00%
Spain (15 pediatric emergency departments from 9 different regions),Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,TOTAL,NA,54.40%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,TOTAL,NA,91.70%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Enrolment group,Seasonal group,95.40%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Enrolment group,Catch-up group,89.90%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Enrolment group,High risk group,96.70%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Age group,≤3 months,95.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Age group,>3 to 6 months,90.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Age group,>6 months,88.30%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Sex,Female,92.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Sex,Male,91.40%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Comorbidities,Prematurity (born <37 weeks gestational age),93.90%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Healthy Child programme visits,≥ 1,92.50%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Healthy Child programme visits,0,81.70%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Residential area,North,92.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Residential area,South,91.30%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Preterm (<35 weeks),95.60%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Preterm (<29 weeks),100.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Congenital heart diseases,98.50%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Bronchopulmonary dysplasia,97.40%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Severe immunosuppression,90.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Congenital metabolic disorders,92.90%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Neuromuscular diseases,100.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Severe pulmonary diseases,100.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Trisomy 21,90.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Cystic fibrosis,100.00%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,High-risk group,Patients in palliative care,100.00%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,TOTAL,NA,80.10%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,23-27 weeks of gestation,78.60%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,28-33 weeks of gestation,86.60%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,34-36 weeks of gestation,81.90%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,37-41 weeks of gestation,80.00%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Weeks of gestation,42+ weeks of gestation,53.30%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Type of birth,Single birth,79.90%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Type of birth,Multiple birth,86.60%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Sex,Female sex,79.70%
"Madrid, Spain",Nirsevimab,Infants under 6 months old,Sex,Male sex,80.50%
