Country or region,Intervention,Description of total population,Subgroups,Subgroup description,Uptake outcome
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,TOTAL,NA,60.2%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Sex,Males,63.7%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Sex,Females,54.4%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Age group,0-89 days old,65.7%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Age group,90-179 days old,51.1%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Age group,180-364 days old,54.8%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,No comorbidities,54.2%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Prematurity (born <36 weeks gestational age),79.5%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Congenital heart disease,60.0%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Chronic lung disease,100.0%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Neurological disorders,66.7%
Spain and Andorra,Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,Comorbidities,Other comorbidities,20.0%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,TOTAL,NA,67.3%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Sex,Males,73.3%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Sex,Females,59.1%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Comorbidities,No comorbidities,58.8%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Comorbidities,Prematurity,84.6%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Comorbidities,Cardiopathy,100.0%
"Catalonia, Spain",Nirsevimab,Infants under 6 months old admitted to pediatric intensive care unit,Comorbidities,Neuropathy,50.0%
Spain (15  pediatric emergency departments from 9 different regions),Nirsevimab,Infants under 6 months old hospitalised with bronchiolitis,TOTAL,NA,54.4%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,TOTAL,NA,91.7%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Enrolment group,Seasonal group,95.4%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Enrolment group,Catch-up group,89.9%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Enrolment group,High risk group,96.7%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Age group,≤3 months,95.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Age group,>3 to 6 months,90.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Age group,>6 months,88.3%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Sex,Female,92.0%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Sex,Male,91.4%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Comorbidities,Prematurity (born <37 weeks gestational age),93.9%
"Galicia, Spain",Nirsevimab,Infants under 6 months old,Healthy Child programme visits,≥ 1,92.5%
